onset	duration	run_number	trial_number	task_condition	fix_direction
78924.57281	89.7000004	3	1	3	8
79014.27281	89.7000037	3	2	3	6
79103.97281	89.7000012	3	3	3	4
79193.67281	89.7000016	3	4	3	2
79283.37281	89.7000018	3	5	3	1
