onset	duration	run_number	trial_number	task_condition	fix_direction
80099.28128	89.7000019	5	1	3	8
80188.98128	89.7000039	5	2	3	6
80278.68129	89.700002	5	3	3	4
80368.38129	89.7000024	5	4	3	2
80458.08129	89.7000018	5	5	3	1
