onset	duration	run_number	trial_number	task_condition	fix_direction
3972.590888	89.7000042	5	1	3	8
4062.290893	89.7000009	5	2	3	6
4151.990894	89.7000037	5	3	3	4
4241.690897	89.7000012	5	4	3	2
4331.390898	89.7000005	5	5	3	1
