onset	duration	run_number	trial_number	task_condition	fix_direction
2309.622278	89.7000042	2	1	2	1
2399.322282	89.7000023	2	2	2	2
2489.022284	89.7000042	2	3	2	4
2578.722288	89.7000035	2	4	2	6
2668.422292	89.7000027	2	5	2	8
