onset	duration	run_number	trial_number	task_condition	fix_direction
4504.615035	89.7000029	6	1	2	1
4594.315038	89.7000034	6	2	2	2
4684.015041	89.7000034	6	3	2	4
4773.715045	89.7	6	4	2	6
4863.415045	89.7000009	6	5	2	8
