onset	duration	run_number	trial_number	task_condition	fix_direction
2850.139045	89.7000021	3	1	3	8
2939.839047	89.7000017	3	2	3	6
3029.539048	89.7000023	3	3	3	4
3119.239051	89.7000041	3	4	3	2
3208.939055	89.7000085	3	5	3	1
